PLT_PARAMETERID,PLT_INFOTYPE
TY_0001_00_5,7
TY_0001_00_7,1
TY_0001_00_42,7
TY_0001_00_12,1
TY_0001_00_8,1
TY_0001_00_9,1
TY_0002_00_5,7
TY_0002_00_6,1
TY_0002_00_7,1
TY_0002_00_17,3
TY_0002_00_18,3
TY_0002_00_19,3
TY_0002_00_20,3
TY_0002_00_37,3
TY_0002_00_21,3
TY_0002_00_22,3
TY_0002_00_23,3
TY_0002_00_24,3
TY_0002_00_25,1
TY_0002_00_26,1
TY_0002_00_27,1
TY_0002_00_28,1
TY_0002_00_29,1
TY_0002_00_30,1
TY_0002_00_31,1
TY_0002_00_32,1
TY_0002_00_33,1
TY_0002_00_34,1
TY_0002_00_35,1
TY_0002_00_36,1
TY_0002_00_623,1
TY_0002_00_624,1
TY_0002_00_625,1
TY_0002_00_626,1
TY_0002_00_627,1
TY_0002_00_628,1
TY_0002_00_629,1
TY_0002_00_630,1
TY_0002_00_631,1
J_0001_00_245,3
J_0001_00_1032,3
TY_0002_00_652,1
TY_0002_00_653,1
TY_0002_00_654,1
TY_0002_00_655,1
TY_0002_00_656,1
TY_0002_00_657,1
TY_0002_00_658,1
TY_0002_00_659,1
TY_0002_00_660,1
J_0001_00_247,3
J_0001_00_235,3
J_0001_00_236,3
J_0001_00_917,3
J_0001_00_250,3
STMP_0001_GSMStatus_01,1
J_0001_03_695,1
J_0001_03_897,1
J_0001_03_898,3
J_0001_00_1033,3
J_0001_03_3349,1
J_0001_00_1028,3
J_0001_03_3350,1
TY_0002_00_632,1
TY_0002_00_633,1
TY_0002_00_634,1
TY_0002_00_635,1
TY_0002_00_636,1
TY_0002_00_637,1
TY_0002_00_638,1
TY_0002_00_639,1
TY_0002_00_640,1
TY_0002_00_641,1
TY_0002_00_642,1
TY_0002_00_643,1
TY_0002_00_644,1
TY_0002_00_645,1
TY_0002_00_646,1
TY_0002_00_647,1
TY_0002_00_648,1
TY_0002_00_649,1
TY_0002_00_650,1
TY_0002_00_651,1
TY_0002_00_661,1
TY_0002_00_662,1
TY_0002_00_663,1
TY_0002_00_664,1
TY_0002_00_665,1
TY_0002_00_666,1
TY_0002_00_667,1
TY_0002_00_668,1
TY_0002_00_669,1
TY_0002_00_670,1
TY_0002_00_671,1
TY_0002_00_672,1
TY_0002_00_673,1
TY_0002_00_674,1
TY_0002_00_675,1
J_0001_00_157,3
J_0001_29_572,1
J_0001_00_156,3
J_0001_00_1349,3
J_0001_29_1082,1
J_0001_29_1667,1
J_0001_00_1029,3
TY_0002_00_676,1
J_0001_00_1002,3
J_0001_00_5458,3
J_0001_03_4191,3
J_0001_00_1001,3
J_0001_00_1003,3
J_0001_00_1004,3
J_0001_00_1005,3
J_0001_03_4206,3
J_0001_03_4207,3
J_0001_00_1006,3
J_0001_00_1634,7
J_0001_00_990,3
J_0001_00_991,3
J_0001_00_992,3
J_0001_00_986,3
J_0001_00_993,3
J_0001_00_975,3
J_0001_00_1684,1
J_0001_00_1639,3
J_0001_00_1682,1
J_0001_00_4211,3
J_0001_00_1714,1
J_0001_00_4212,3
J_0001_00_1635,7
J_0001_00_1856,1
J_0001_00_166,3
J_0001_00_1655,1
J_0001_00_189,3
J_0001_00_3669,1
J_0001_00_977,1
J_0001_00_5465,1
J_0001_03_696,1
J_0001_00_3671,3
J_0001_00_911,3
J_0001_00_912,3
J_0001_00_913,3
J_0001_00_918,3
J_0001_17_917,3
J_0001_17_918,3
J_0001_EE_917,3
J_0001_EE_918,3
J_0001_00_1654,1
J_0001_00_1653,1
J_0001_00_1213,1
J_0001_00_3695,1
J_0001_00_623,1
J_0001_00_3696,1
J_0001_00_624,1
J_0001_00_1666,1
J_0001_00_987,1
J_0001_00_3041,1
J_0001_00_1656,1
J_0001_00_3040,1
J_0001_00_3039,1
J_0001_00_1683,1
J_0001_00_3038,1
J_0001_00_1685,1
J_0001_00_1686,1
J_0001_00_965,3
J_0001_00_164,3
J_0001_00_2596,3
J_0001_29_900,1
TY_0001_00_6,2
TY_0001_00_4,7
J_0001_00_3667,1
J_0001_00_5263,3
J_0001_00_5404,1
J_0001_3D_5137,3
J_0001_03_4816,1
J_0001_4E_109,3
J_0001_03_606,1
J_0001_4E_111,3
J_0001_03_607,1
J_0001_03_5015,1
J_0001_00_186,3
J_0001_00_558,1
J_0001_00_187,3
J_0001_00_559,1
J_0001_00_1437,1
J_0001_00_980,1
J_0001_00_2970,1
J_0001_00_979,1
J_0001_00_2979,1
J_0001_00_978,1
J_0001_00_984,1
J_0001_3D_4352,1
J_0001_00_51,3
J_0001_3D_4355,1
J_0001_3D_4356,1
J_0001_3D_4357,1
J_0001_00_81,3
J_0001_00_102,3
J_0001_00_599,1
J_0001_51_3221,1
J_0001_00_600,1
J_0001_51_3222,1
J_0001_00_601,1
J_0001_3D_4353,1
J_0001_00_108,3
J_0001_3D_4354,1
J_0001_3D_108,3
J_0001_00_106,3
J_0001_00_107,3
J_0001_00_112,3
J_0001_00_115,3
J_0001_00_167,3
J_0001_00_168,3
J_0001_00_158,3
J_0001_03_123,3
J_0001_03_124,3
J_0001_55_3697,1
J_0001_55_3701,1
J_0001_03_126,3
J_0001_55_3698,1
J_0001_55_4175,1
J_0001_03_127,3
J_0001_EF_3697,1
J_0001_EF_3701,1
J_0001_03_3028,1
J_0001_03_3026,1
J_0001_EF_3698,1
J_0001_EF_4175,1
J_0001_03_119,3
J_0001_55_3699,1
J_0001_55_3700,1
J_0001_00_354,3
J_0001_00_1188,3
J_0001_00_1189,3
J_0001_00_964,3
J_0001_00_1190,3
J_0001_00_1191,3
J_0001_00_246,3
J_0001_00_5370,3
J_0001_00_248,3
J_0001_00_5373,3
J_0001_00_182,3
J_0001_00_972,1
J_0001_00_22,3
J_0001_00_971,1
J_0001_00_970,1
J_0001_00_969,1
J_0001_00_98,3
J_0001_00_1243,1
J_0001_00_1439,1
J_0001_00_100,3
J_0001_00_1438,1
J_0001_00_1793,1
J_0001_00_109,3
J_0001_00_111,3
J_0001_00_2911,1
J_0001_4E_94,3
J_0001_00_1836,1
J_0001_00_1792,1
J_0001_4E_22,3
J_0001_03_560,1
J_0001_4E_98,3
J_0001_03_573,1
J_0001_03_574,1
J_0001_4E_100,3
J_0001_00_530,3
J_0001_00_531,3
J_0001_00_532,3
J_0001_00_545,3
J_0001_00_544,3
J_0001_00_533,3
J_0001_00_973,3
J_0001_03_522,3
J_0001_00_534,3
J_0001_00_91,3
J_0001_00_535,3
J_0001_00_536,3
J_0001_00_92,3
J_0001_00_1712,3
J_0001_00_974,3
J_0001_00_29,3
J_0001_00_1794,3
J_0001_00_3357,3
J_0001_00_1846,3
J_0001_00_4154,3
J_0001_00_593,1
J_0001_00_594,1
J_0001_00_592,1
J_0001_00_590,1
J_0001_00_591,1
J_0001_00_985,1
J_0001_00_875,1
J_0001_4E_4154,3
J_0001_00_605,1
J_0001_00_1081,1
J_0001_00_1110,1
J_0001_00_1109,1
J_0001_00_1108,1
J_0001_00_1107,1
J_0001_00_1111,1
J_0001_00_2815,1
J_0001_00_2814,1
J_0001_00_5262,3
J_0001_00_2813,1
J_0001_00_2812,1
J_0001_51_3223,1
J_0001_00_602,1
J_0001_51_3224,1
J_0001_00_86,3
J_0001_51_3225,1
J_0001_00_976,1
J_0001_00_527,1
J_0001_00_968,1
J_0001_00_967,1
J_0001_00_966,1
J_0001_00_3232,1
J_0001_00_1237,1
J_0001_17_69,1
J_0001_00_3234,1
J_0001_17_70,1
J_0001_00_3235,1
J_0001_17_1633,1
J_0001_17_3807,1
J_0001_52_3232,1
J_0001_52_3234,1
J_0001_17_84,3
J_0001_52_3235,1
J_0001_17_595,1
J_0001_17_596,1
J_0001_17_597,1
J_0001_00_3228,1
J_0001_17_598,1
J_0001_00_3229,1
J_0001_00_3230,1
J_0001_00_3231,1
J_0001_17_599,1
J_0001_00_3233,1
J_0001_17_600,1
J_0001_17_601,1
J_0001_17_602,1
J_0001_52_3228,1
J_0001_52_3229,1
J_0001_52_3230,1
J_0001_52_3231,1
J_0001_17_86,3
J_0001_52_3233,1
J_0001_17_976,1
J_0001_00_5077,1
J_0001_17_527,1
J_0001_00_5078,1
J_0001_00_5079,1
J_0001_17_968,1
J_0001_00_5080,1
J_0001_17_967,1
J_0001_00_5081,1
J_0001_00_3987,1
J_0001_17_966,1
J_0001_00_5082,1
J_0001_17_1237,1
J_0001_00_5083,1
J_0001_00_5084,1
J_0001_00_183,3
J_0001_00_5085,1
J_0001_00_5086,1
J_0001_00_5469,1
J_0001_00_184,3
J_0001_00_185,3
J_0001_3D_4361,1
J_0001_EE_1621,1
J_0001_EE_1620,1
J_0001_EE_1619,1
J_0001_00_5372,1
J_0001_00_1481,3
J_0001_29_4233,1
J_0001_29_4234,1
J_0001_00_515,3
J_0001_29_1480,3
J_0001_00_519,3
J_0001_00_3236,3
J_0001_00_3237,1
J_0001_00_3238,1
J_0001_00_3239,1
J_0001_29_1716,3
J_0001_00_3240,1
J_0001_00_521,3
J_0001_00_244,3
J_0001_00_188,3
J_0001_00_528,3
J_0001_00_529,3
J_0001_3D_5414,3
J_0001_00_3644,3
J_0001_00_2600,3
J_0001_00_249,3
J_0001_00_1761,3
J_0001_00_959,3
J_0001_00_960,3
J_0001_00_3363,3
J_0001_00_961,3
J_0001_3D_1761,3
J_0001_3D_3363,3
J_0001_00_963,3
J_0001_00_962,3
J_0001_00_561,1
J_0001_00_74,3
J_0001_00_562,1
J_0001_00_87,3
J_0001_00_88,3
J_0001_00_563,1
J_0001_00_1121,1
J_0001_00_1134,3
J_0001_00_575,1
J_0001_4E_1134,3
J_0001_00_576,1
J_0001_00_94,3
J_0001_00_577,1
J_0001_00_1238,1
J_0001_00_5021,1
J_0001_00_983,1
J_0001_00_5399,1
J_0001_00_982,1
J_0001_00_5400,1
J_0001_00_981,1
J_0001_00_2897,1
J_0001_00_3447,1
J_0001_00_3448,1
J_0001_00_69,1
J_0001_00_70,1
J_0001_00_1633,1
J_0001_00_84,3
J_0001_51_3218,1
J_0001_00_595,1
J_0001_51_3219,1
J_0001_00_596,1
J_0001_51_3220,1
J_0001_00_597,1
J_0001_29_571,1
J_0001_00_598,1
J_0001_3D_4362,1
J_0001_00_4361,1
J_0001_00_4362,1
J_0001_00_3673,3
J_0001_00_3604,1
J_0001_00_3605,1
J_0001_00_3606,1
J_0001_00_3607,1
J_0001_00_2884,1
J_0001_00_1377,1
J_0001_00_2883,1
J_0001_03_4176,1
J_0001_03_4178,1
J_0001_03_1850,1
J_0001_03_1849,1
J_0001_03_3086,1
J_0001_03_2945,1
J_0001_03_2900,1
J_0001_03_1851,1
J_0001_03_2539,1
J_0001_03_2538,1
J_0001_03_2537,1
J_0001_03_2536,1
J_0001_03_4251,1
J_0001_03_4252,1
J_0001_03_4253,1
J_0001_03_4261,1
J_0001_03_5344,1
J_0001_EE_1611,1
J_0001_EE_1615,1
J_0001_EE_1614,1
J_0001_EE_1616,1
J_0001_EE_1622,1
J_0002_F0_48,1
J_0002_F3_57,3
J_0002_F3_58,3
J_0002_F3_59,3
J_0001_00_586,7
J_0001_00_587,7
J_0001_03_191,3
J_0001_03_1482,3
J_0001_00_899,1
J_0001_00_1675,1
J_0001_00_190,3
J_0001_00_1483,3
J_0001_4E_899,1
J_0001_4E_1675,1
J_0001_4E_1483,3
J_0001_4E_190,3
J_0001_EE_1623,3
J_0001_03_526,3
J_0001_3D_4332,1
J_0001_00_1176,3
J_0001_00_1177,3
J_0001_03_518,3
J_0001_29_520,3
J_0001_00_1178,3
J_0001_29_1085,3
J_0001_00_1179,3
J_0001_29_1715,3
J_0001_29_1717,3
J_0001_00_5398,3
J_0001_00_1172,3
J_0001_00_2432,3
J_0001_4E_2432,3
J_0001_00_1173,3
J_0001_03_524,3
J_0001_3D_4366,1
J_0001_EE_1617,1
J_0001_EE_1618,1
J_0001_00_1192,3
J_0001_00_3087,3
J_0001_00_1388,3
J_0001_00_1387,3
J_0001_00_1390,3
J_0001_00_1391,3
J_0001_00_1392,3
J_0001_00_2980,3
J_0001_00_3517,3
J_0001_00_3532,1
J_0001_00_4365,1
J_0001_00_4366,1
J_0001_00_5245,1
J_0001_00_5246,1
J_0001_EE_1624,3
J_0001_3D_3517,3
J_0001_00_2588,3
J_0001_00_2589,3
J_0001_00_2590,3
J_0001_00_2591,3
J_0001_00_2592,3
J_0001_00_2593,3
J_0001_00_2594,3
J_0001_00_2595,3
J_0001_00_2882,3
J_0001_00_3469,3
J_0001_00_3301,3
J_0001_00_3302,3
J_0001_00_3466,3
J_0001_00_3467,3
J_0001_03_5346,1
J_0001_00_97,1
J_0001_55_3702,1
J_0001_55_3703,1
J_0002_4E_1,1
J_0001_55_3704,1
J_0001_55_3705,1
J_0002_4E_2,1
J_0001_55_3706,1
J_0002_4E_3,1
J_0001_55_3707,1
J_0001_55_3708,1
J_0001_55_3709,1
J_0002_4E_4,3
J_0001_55_3710,1
J_0001_55_3711,1
J_0002_00_9,1
J_0001_55_3712,1
J_0002_00_10,1
J_0001_55_3713,1
J_0001_55_3714,1
J_0001_55_3715,1
J_0001_55_3716,1
J_0002_00_11,3
J_0001_55_3717,1
J_0001_55_3718,1
J_0002_00_12,3
J_0001_EF_3699,1
J_0001_EF_3700,1
J_0002_00_13,3
J_0001_EF_3702,1
J_0001_EF_3703,1
J_0001_EF_3704,1
J_0002_00_15,3
J_0001_EF_3705,1
J_0001_EF_3706,1
J_0001_EF_3707,1
J_0002_00_16,3
J_0001_EF_3708,1
J_0001_EF_3709,1
J_0002_00_17,3
J_0001_EF_3710,1
J_0002_00_18,1
J_0001_EF_3711,1
J_0002_00_19,1
J_0001_EF_3712,1
J_0001_EF_3713,1
J_0002_00_20,1
J_0001_EF_3714,1
J_0002_9F_22,1
J_0002_9F_23,1
J_0001_EF_3716,1
J_0002_9F_24,1
J_0002_9F_25,1
J_0001_EF_3717,1
J_0001_EF_3718,1
J_0002_00_21,3
J_0002_00_30,3
J_0002_00_31,3
J_0002_00_32,3
J_0002_00_33,3
J_0002_23_35,1
J_0002_00_36,3
J_0002_00_37,3
J_0002_00_38,3
J_0002_F0_46,1
J_0002_F0_47,1
J_0002_A7_49,3
J_0002_A7_50,3
J_0002_55_51,3
J_0002_55_52,3
J_0002_55_53,1
J_0002_EF_54,3
J_0002_EF_55,3
J_0002_EF_56,1
J_0001_00_3543,1
J_0001_00_3544,3
J_0001_00_4082,1
J_0001_00_3608,1
J_0001_00_632,1
J_0001_00_2881,1
J_0001_00_2879,1
J_0001_00_2886,1
J_0001_00_2885,1
J_0001_3D_3532,1
J_0001_3D_4365,1
J_0001_3D_5245,1
J_0001_3D_5246,1
J_0001_EE_1613,1
J_0001_00_3303,1
J_0001_00_3304,1
J_0001_00_3305,1
J_0001_3D_4331,3
J_0001_3D_4333,3
J_0001_3D_4334,3
J_0001_00_5313,3
J_0001_00_5314,3
J_0001_EE_1612,1
J_0001_00_1174,3
J_0001_03_523,3
J_0001_00_1175,3
J_0001_4E_1145,3
J_0001_4E_1146,3
J_0001_4E_1147,3
J_0001_03_3289,3
J_0001_4E_1148,3
J_0001_4E_1141,3
J_0001_4E_1142,3
J_0001_00_512,3
J_0001_4E_1143,3
J_0001_00_513,3
J_0001_4E_1144,3
J_0001_4E_512,3
J_0001_4E_1137,3
J_0001_4E_1138,3
J_0001_4E_513,3
J_0001_4E_1139,3
J_0001_4E_1140,3
J_0001_51_3217,3
J_0001_00_3227,3
J_0001_52_3227,3
J_0001_00_914,3
J_0001_00_915,3
J_0001_51_3216,3
J_0001_00_3226,3
J_0001_00_916,3
J_0001_52_3226,3
J_0001_3D_4360,3
J_0001_3D_4363,3
J_0001_00_2807,1
J_0001_00_3601,1
J_0001_00_3589,1
J_0001_00_3602,1
J_0001_00_3603,1
TY_0004_00_99,1
TY_0004_00_19,1
TY_0004_00_20,1
TY_0004_00_100,1
TY_0004_00_21,1
TY_0004_00_22,1
TY_0004_00_23,1
TY_0004_00_24,1
TY_0004_00_101,1
TY_0004_00_25,1
TY_0004_00_26,1
TY_0004_00_27,1
TY_0004_00_102,1
TY_0004_00_28,1
TY_0004_00_103,1
TY_0004_00_29,1
TY_0004_00_30,1
TY_0004_00_104,1
TY_0004_00_31,3
TY_0004_00_32,1
TY_0004_00_33,1
TY_0004_00_105,1
TY_0004_00_34,1
TY_0004_00_35,1
TY_0004_00_36,1
TY_0004_00_37,3
TY_0004_00_106,1
TY_0004_00_107,1
TY_0004_00_38,1
TY_0004_00_39,1
TY_0004_00_108,1
TY_0004_00_40,1
TY_0004_00_41,3
TY_0004_00_110,1
TY_0004_00_42,1
TY_0004_00_43,1
TY_0004_00_44,1
TY_0004_00_45,1
TY_0004_00_111,1
TY_0004_00_46,1
TY_0004_00_47,1
TY_0004_00_48,1
TY_0004_00_49,1
TY_0004_00_50,1
TY_0004_00_51,3
TY_0004_00_112,1
TY_0004_00_52,3
TY_0004_00_53,3
TY_0004_00_54,1
TY_0004_00_55,1
TY_0004_00_56,1
TY_0004_00_57,1
TY_0004_00_58,1
TY_0004_00_59,1
TY_0004_00_60,1
TY_0004_00_61,1
TY_0004_00_62,1
TY_0004_00_63,1
TY_0004_00_64,1
TY_0004_00_65,1
TY_0004_00_66,1
TY_0004_00_67,1
TY_0004_00_68,1
TY_0004_00_69,1
TY_0004_00_70,1
TY_0004_00_71,7
TY_0004_00_72,1
TY_0004_00_73,1
TY_0004_00_74,1
TY_0004_00_75,1
TY_0004_00_76,1
TY_0004_00_77,1
TY_0004_00_78,1
J_0001_00_539,3
J_0001_03_162,7
J_0001_00_540,3
J_0001_03_163,7
J_0001_00_541,3
J_0001_00_542,3
J_0001_00_543,3
J_0001_00_537,3
J_0001_00_538,3
J_0001_00_1691,3
J_0001_00_1601,3
J_0001_00_1602,3
J_0001_00_170,3
J_0001_00_171,3
J_0001_00_79,3
J_0001_3D_170,3
J_0001_3D_171,3
J_0001_3D_79,3
J_0001_00_172,3
J_0001_3D_172,3
J_0001_00_105,3
J_0001_00_173,3
J_0001_00_114,3
J_0001_03_177,3
J_0001_03_3027,3
J_0001_03_120,3
J_0002_D1_5,3
J_0002_F0_44,3
J_0002_F0_45,3
J_0001_00_3345,3
J_0001_00_3346,3
J_0001_00_3347,3
J_0001_00_3348,3
J_0001_00_234,7
TY_0004_00_81,7
TY_0004_00_82,1
TY_0004_00_83,1
TY_0004_00_01,1
TY_0004_00_84,1
TY_0004_00_86,1
TY_0004_00_87,1
TY_0004_00_88,1
TY_0004_00_89,1
TY_0004_00_02,1
TY_0004_00_90,1
TY_0004_00_03,1
TY_0004_00_04,1
TY_0004_00_05,1
TY_0004_00_06,1
TY_0004_00_07,1
TY_0004_00_91,3
TY_0004_00_08,1
TY_0004_00_09,1
TY_0004_00_92,1
TY_0004_00_10,1
TY_0004_00_93,1
TY_0004_00_11,1
TY_0004_00_94,1
TY_0004_00_12,1
TY_0004_00_95,1
TY_0004_00_13,1
TY_0004_00_14,1
TY_0004_00_96,1
TY_0004_00_15,1
TY_0004_00_16,1
TY_0004_00_97,1
TY_0004_00_17,1
TY_0004_00_98,1
TY_0004_00_18,1
PP_0001_00_16785833,3
TY_0004_00_79,1
TY_0004_00_80,1
TY_0004_00_116,1
TY_0004_00_117,1
TY_0004_00_118,1
TY_0004_00_119,1
TY_0004_00_120,1
TY_0004_00_121,1
TY_0004_00_122,1
TY_0004_00_123,1
TY_0004_00_124,1
TY_0004_00_125,1
TY_0004_00_126,1
TY_0004_00_127,1
TY_0004_00_128,1
TY_0004_00_134,1
TY_0004_00_136,1
TY_0004_00_137,1
TY_0004_00_138,1
TY_0004_00_139,1
TY_0004_00_140,1
J_0001_03_161,3
TY_0004_00_141,1
TY_0004_00_142,1
TY_0004_00_143,1
PP_0001_00_16786220,1
PP_0001_00_16794309,3
PP_0001_00_16786255,1
PP_0001_00_16816329,3
PP_0001_00_16817895,3
PP_0001_00_16822067,3
PP_0001_00_16817528,3
PP_0001_00_16817645,3
PP_0001_00_16781822,3
J_0001_00_588,7
J_0001_00_233,7
J_0001_00_237,7
J_0001_00_3344,3
STMP_0002_11FFEF_01,1
TY_0004_00_115,1
TY_0004_00_113,1
TY_0004_00_114,1
TY_0004_00_129,1
TY_0004_00_130,1
TY_0004_00_131,1
TY_0004_00_132,1
TY_0004_00_133,1
TY_0004_00_135,1
TY_0004_00_144,1
TY_0004_00_145,1
TY_0004_00_146,1
TY_0004_00_147,1
TY_0004_00_148,1
TY_0004_00_149,1
TY_0004_00_150,1
TY_0004_00_151,1
TY_0004_00_152,1
TY_0004_00_153,1
TY_0004_00_154,1
TY_0004_00_155,1
TY_0004_00_156,1
TY_0004_00_157,1
TY_0004_00_158,1
TY_0004_00_159,1
J_0002_D1_6,3
TY_0004_00_160,1
STMP_0002_F00203_01,1
J_0001_00_5371,1
DR_0001_00_175,3
DR_0001_00_100,3
DR_0002_21_3,1
DR_0002_21_4,3
DR_0002_21_5,3
DR_0002_21_6,3
DR_0002_21_7,3
DR_0002_21_8,3
DR_0002_21_9,3
DR_0002_21_10,3
STMP_0002_F00300_01,1
STMP_0002_FEBD00_01,1
STMP_0002_F00400_01,1
DR_0002_21_11,3
STMP_0002_F00503_01,1
STMP_0002_FEC100_01,1
STMP_0002_F00E51_01,1
DR_0002_21_12,3
STMP_0002_F00F52_01,1
STMP_0002_FEC1EE_01,1
DR_0002_21_13,3
STMP_0002_FD7CEF_01,1
STMP_0002_FEDB00_01,1
STMP_0002_FDCB00_01,1
STMP_0002_FEDC00_01,1
STMP_0002_FE6CEE_01,1
STMP_0002_FEDF00_01,1
STMP_0002_FEE000_01,1
J_0001_00_4360,3
J_0001_00_4363,3
J_0001_00_3468,3
J_0001_00_3031,3
J_0001_3D_3031,3
J_0001_00_441,3
J_0001_00_442,3
J_0001_00_110,3
J_0001_00_174,3
J_0001_00_175,3
J_0001_00_176,3
J_0001_00_52,3
J_0001_4E_110,3
J_0001_4E_174,3
J_0001_4E_175,3
J_0001_4E_176,3
J_0001_4E_52,3
J_0001_00_101,3
J_0001_4E_101,3
J_0001_00_90,3
J_0002_00_7,3
J_0002_00_8,3
J_0002_00_14,3
J_0002_9F_26,3
J_0002_9F_27,3
J_0002_9F_28,3
J_0002_9F_29,3
J_0002_00_34,3
J_0002_F0_39,3
J_0002_F0_40,3
J_0002_F0_41,3
J_0002_F0_42,3
J_0002_F0_43,3
J_0001_00_1433,3
J_0001_00_1434,3
J_0001_00_1435,3
J_0001_00_1436,3
J_0001_00_514,3
J_0001_00_2978,3
PP_0001_00_16786238,3
DR_0002_21_19,3
DR_0002_21_22,1
GY_0001_01_001,1
J_0001_01_002,3
DR_0002_21_23,1
DR_0002_21_24,3
